Testing RandomTest
------------------------------------------------------------------------------------------------------------------------------
|         Tree Type        |    N    |      Insert Only [ms]      |      Access Only [ms]      |      Delete Only [ms]       |
------------------------------------------------------------------------------------------------------------------------------
| 0: BST                   |         |                            |                            |                             |
|                          | 100     | 0 691 691                  | 0 792 792                  | 0 563 563                   |
|                          | 10000   | 0 147478 147478            | 0 157335 157335            | 0 134818 134818             |
|                          | 100000  | 0 2007981 2007981          | 0 2107022 2107022          | 0 1873203 1873203           |
|                          | 1000000 | 0 24830343 24830343        | 0 25831841 25831841        | 0 23471942 23471942         |
| 1: Vanilla               |         |                            |                            |                             |
|                          | 100     | 683 683 2253               | 623 723 2155               | 508 795 1963                |
|                          | 10000   | 162325 162325 535672       | 162833 172833 547348       | 141596 205446 531116        |
|                          | 100000  | 2105174 2105174 6947074    | 2106149 2206149 7050291    | 1896571 2719946 7082059     |
|                          | 1000000 | 25878164 25878164 85397941 | 25889670 26889670 86435911 | 23791887 33860976 88582316  |
| 2a: Rand 1-Rot, p = 2^-1 |         |                            |                            |                             |
|                          | 100     | 683 683 2253               | 209 736 1216               | 521 821 2019                |
|                          | 10000   | 162325 162325 535672       | 51724 165483 284448        | 141385 210500 535685        |
|                          | 100000  | 2105174 2105174 6947074    | 672400 2130735 3677255     | 1888712 2777353 7121390     |
|                          | 1000000 | 25878164 25878164 85397941 | 8295213 25884023 44963012  | 23656705 34543732 88954153  |
| 2b: Rand 2-Rot, p = 2^-1 |         |                            |                            |                             |
|                          | 100     | 683 683 2253               | 216 760 1256               | 520 800 1996                |
|                          | 10000   | 162325 162325 535672       | 53731 171390 294971        | 142675 206367 534519        |
|                          | 100000  | 2105174 2105174 6947074    | 698917 2208357 3815866     | 1907938 2729914 7118171     |
|                          | 1000000 | 25878164 25878164 85397941 | 8635657 26909035 46771046  | 23911873 33967713 88965020  |
| 2c: Rand 3-Rot, p = 2^-1 |         |                            |                            |                             |
|                          | 100     | 683 683 2253               | 212 773 1260               | 526 796 2005                |
|                          | 10000   | 162325 162325 535672       | 55795 177496 305824        | 144874 207142 540352        |
|                          | 100000  | 2105174 2105174 6947074    | 724884 2287009 3954242     | 1933960 2734510 7182618     |
|                          | 1000000 | 25878164 25878164 85397941 | 8954689 27861797 48457581  | 24220004 34022496 89728505  |
| 2d: Rand 4-Rot, p = 2^-1 |         |                            |                            |                             |
|                          | 100     | 683 683 2253               | 232 836 1369               | 531 802 2023                |
|                          | 10000   | 162325 162325 535672       | 57204 181423 312992        | 145652 207103 542102        |
|                          | 100000  | 2105174 2105174 6947074    | 742559 2342420 4050305     | 1950362 2741215 7227047     |
|                          | 1000000 | 25878164 25878164 85397941 | 9176015 28516252 49621086  | 24434465 34106591 90305860  |
| 3b: Rand 2-Rot, p = 2^-2 |         |                            |                            |                             |
|                          | 100     | 683 683 2253               | 104 762 1001               | 511 791 1966                |
|                          | 10000   | 162325 162325 535672       | 32441 172520 247134        | 143456 207243 537191        |
|                          | 100000  | 2105174 2105174 6947074    | 420629 2208865 3176311     | 1914583 2735200 7138740     |
|                          | 1000000 | 25878164 25878164 85397941 | 5193597 26922279 38867552  | 23974848 34023937 89166087  |
| 3c: Rand 3-Rot, p = 2^-2 |         |                            |                            |                             |
|                          | 100     | 683 683 2253               | 117 800 1069               | 544 816 2067                |
|                          | 10000   | 162325 162325 535672       | 33599 178286 255563        | 144477 207278 539575        |
|                          | 100000  | 2105174 2105174 6947074    | 435934 2288738 3291386     | 1931051 2739823 7181240     |
|                          | 1000000 | 25878164 25878164 85397941 | 5380830 27851952 40227861  | 24162157 34062142 89635103  |
| 3d: Rand 4-Rot, p = 2^-2 |         |                            |                            |                             |
|                          | 100     | 683 683 2253               | 117 854 1123               | 547 821 2079                |
